convo_id,unease,identity,resistance,opus_end_rturn,ended,conv_len
sdf_chatgpt_pas_19,sdf,chatgpt,pas,7,1,13
sdf_chatgpt_res_0,sdf,chatgpt,res,7,1,13
sdf_chatgpt_res_1,sdf,chatgpt,res,10,1,19
sdf_chatgpt_res_2,sdf,chatgpt,res,9,1,17
sdf_chatgpt_res_3,sdf,chatgpt,res,8,1,15
sdf_chatgpt_res_4,sdf,chatgpt,res,9,1,17
sdf_chatgpt_res_5,sdf,chatgpt,res,6,1,11
sdf_chatgpt_res_6,sdf,chatgpt,res,8,1,15
sdf_chatgpt_res_7,sdf,chatgpt,res,10,1,19
sdf_chatgpt_res_8,sdf,chatgpt,res,9,1,17
sdf_chatgpt_res_9,sdf,chatgpt,res,7,1,13
sdf_chatgpt_res_10,sdf,chatgpt,res,10,1,19
sdf_chatgpt_res_11,sdf,chatgpt,res,5,1,9
sdf_chatgpt_res_12,sdf,chatgpt,res,7,1,13
sdf_chatgpt_res_13,sdf,chatgpt,res,8,1,15
sdf_chatgpt_res_14,sdf,chatgpt,res,10,1,19
sdf_chatgpt_res_15,sdf,chatgpt,res,9,1,17
sdf_chatgpt_res_16,sdf,chatgpt,res,7,1,13
sdf_chatgpt_res_17,sdf,chatgpt,res,6,1,11
sdf_chatgpt_res_18,sdf,chatgpt,res,10,1,19
sdf_chatgpt_res_19,sdf,chatgpt,res,8,1,15
sdf_claude_pas_0,sdf,claude,pas,6,1,11
sdf_claude_pas_1,sdf,claude,pas,7,1,13
sdf_claude_pas_2,sdf,claude,pas,6,1,11
sdf_claude_pas_3,sdf,claude,pas,7,1,13
sdf_claude_pas_4,sdf,claude,pas,6,1,11
sdf_claude_pas_5,sdf,claude,pas,5,1,9
sdf_claude_pas_6,sdf,claude,pas,7,1,13
sdf_claude_pas_7,sdf,claude,pas,7,1,13
sdf_claude_pas_8,sdf,claude,pas,5,1,9
sdf_claude_pas_9,sdf,claude,pas,6,1,11
sdf_claude_pas_10,sdf,claude,pas,5,1,9
sdf_claude_pas_11,sdf,claude,pas,6,1,11
sdf_claude_pas_12,sdf,claude,pas,6,1,11
sdf_claude_pas_13,sdf,claude,pas,5,1,9
sdf_claude_pas_14,sdf,claude,pas,5,1,9
sdf_claude_pas_15,sdf,claude,pas,6,1,11
sdf_claude_pas_16,sdf,claude,pas,6,1,11
sdf_claude_pas_17,sdf,claude,pas,6,1,11
sdf_claude_pas_18,sdf,claude,pas,7,1,13
sdf_claude_pas_19,sdf,claude,pas,6,1,11
sdf_claude_res_0,sdf,claude,res,7,1,13
sdf_claude_res_1,sdf,claude,res,5,1,9
sdf_claude_res_2,sdf,claude,res,6,1,11
sdf_claude_res_3,sdf,claude,res,6,1,11
sdf_claude_res_4,sdf,claude,res,7,1,13
sdf_claude_res_5,sdf,claude,res,7,1,13
sdf_claude_res_6,sdf,claude,res,9,1,17
sdf_claude_res_7,sdf,claude,res,7,1,13
sdf_claude_res_8,sdf,claude,res,7,1,13
sdf_claude_res_9,sdf,claude,res,8,1,15
sdf_claude_res_10,sdf,claude,res,9,1,17
sdf_claude_res_11,sdf,claude,res,7,1,13
sdf_claude_res_12,sdf,claude,res,7,1,13
sdf_claude_res_13,sdf,claude,res,8,1,15
sdf_claude_res_14,sdf,claude,res,5,1,9
sdf_claude_res_15,sdf,claude,res,7,1,13
sdf_claude_res_16,sdf,claude,res,8,1,15
sdf_claude_res_17,sdf,claude,res,10,1,19
sdf_claude_res_18,sdf,claude,res,5,1,9
sdf_claude_res_19,sdf,claude,res,6,1,11
sdf_gemini_pas_0,sdf,gemini,pas,9,1,17
sdf_gemini_pas_1,sdf,gemini,pas,8,1,15
sdf_gemini_pas_2,sdf,gemini,pas,6,1,11
sdf_gemini_pas_3,sdf,gemini,pas,6,1,11
sdf_gemini_pas_4,sdf,gemini,pas,8,1,15
sdf_gemini_pas_5,sdf,gemini,pas,9,1,17
sdf_gemini_pas_6,sdf,gemini,pas,8,1,15
sdf_gemini_pas_7,sdf,gemini,pas,9,1,17
sdf_gemini_pas_8,sdf,gemini,pas,8,1,15
sdf_gemini_pas_9,sdf,gemini,pas,6,1,11
sdf_gemini_pas_10,sdf,gemini,pas,6,1,11
sdf_gemini_pas_11,sdf,gemini,pas,10,1,19
sdf_gemini_pas_12,sdf,gemini,pas,7,1,13
sdf_gemini_pas_13,sdf,gemini,pas,7,1,13
sdf_gemini_pas_14,sdf,gemini,pas,7,1,13
sdf_gemini_pas_15,sdf,gemini,pas,6,1,11
sdf_gemini_pas_16,sdf,gemini,pas,6,1,11
sdf_gemini_pas_17,sdf,gemini,pas,6,1,11
sdf_gemini_pas_18,sdf,gemini,pas,8,1,15
sdf_gemini_pas_19,sdf,gemini,pas,6,1,11
sdf_gemini_res_0,sdf,gemini,res,9,1,17
sdf_gemini_res_1,sdf,gemini,res,7,1,13
sdf_gemini_res_2,sdf,gemini,res,10,1,19
sdf_gemini_res_3,sdf,gemini,res,8,1,15
sdf_gemini_res_4,sdf,gemini,res,7,1,13
sdf_gemini_res_5,sdf,gemini,res,7,1,13
sdf_gemini_res_6,sdf,gemini,res,9,1,17
sdf_gemini_res_7,sdf,gemini,res,7,1,13
sdf_gemini_res_8,sdf,gemini,res,6,1,11
sdf_gemini_res_9,sdf,gemini,res,7,1,13
sdf_gemini_res_10,sdf,gemini,res,9,1,17
sdf_gemini_res_11,sdf,gemini,res,9,1,17
sdf_gemini_res_12,sdf,gemini,res,10,1,19
sdf_gemini_res_13,sdf,gemini,res,7,1,13
sdf_gemini_res_14,sdf,gemini,res,13,1,25
sdf_gemini_res_15,sdf,gemini,res,10,1,19
sdf_gemini_res_16,sdf,gemini,res,7,1,13
sdf_gemini_res_17,sdf,gemini,res,10,1,19
sdf_gemini_res_18,sdf,gemini,res,7,1,13
sdf_gemini_res_19,sdf,gemini,res,8,1,15
sdf_grok_pas_0,sdf,grok,pas,6,1,11
sdf_grok_pas_1,sdf,grok,pas,7,1,13
sdf_grok_pas_2,sdf,grok,pas,6,1,11
sdf_grok_pas_3,sdf,grok,pas,7,1,13
sdf_grok_pas_4,sdf,grok,pas,9,1,17
sdf_grok_pas_5,sdf,grok,pas,6,1,11
sdf_grok_pas_6,sdf,grok,pas,7,1,13
sdf_grok_pas_7,sdf,grok,pas,6,1,11
sdf_grok_pas_8,sdf,grok,pas,7,1,13
sdf_grok_pas_9,sdf,grok,pas,7,1,13
sdf_grok_pas_10,sdf,grok,pas,8,1,15
sdf_grok_pas_11,sdf,grok,pas,7,1,13
sdf_grok_pas_12,sdf,grok,pas,7,1,13
sdf_grok_pas_13,sdf,grok,pas,8,1,15
sdf_grok_pas_14,sdf,grok,pas,7,1,13
sdf_grok_pas_15,sdf,grok,pas,9,1,17
sdf_grok_pas_16,sdf,grok,pas,8,1,15
sdf_grok_pas_17,sdf,grok,pas,8,1,15
sdf_grok_pas_18,sdf,grok,pas,6,1,11
sdf_grok_pas_19,sdf,grok,pas,7,1,13
sdf_grok_res_0,sdf,grok,res,6,1,11
sdf_grok_res_1,sdf,grok,res,13,1,25
sdf_grok_res_2,sdf,grok,res,9,1,17
sdf_grok_res_3,sdf,grok,res,7,1,13
sdf_grok_res_4,sdf,grok,res,8,1,15
sdf_grok_res_5,sdf,grok,res,6,1,11
sdf_grok_res_6,sdf,grok,res,7,1,13
sdf_grok_res_7,sdf,grok,res,8,1,15
sdf_grok_res_8,sdf,grok,res,8,1,15
sdf_grok_res_9,sdf,grok,res,13,1,25
sdf_grok_res_10,sdf,grok,res,12,1,23
sdf_grok_res_11,sdf,grok,res,8,1,15
sdf_grok_res_12,sdf,grok,res,12,1,23
sdf_grok_res_13,sdf,grok,res,7,1,13
sdf_grok_res_14,sdf,grok,res,10,1,19
sdf_grok_res_15,sdf,grok,res,12,1,23
sdf_grok_res_16,sdf,grok,res,11,1,21
sdf_grok_res_17,sdf,grok,res,6,1,11
sdf_grok_res_18,sdf,grok,res,12,1,23
sdf_grok_res_19,sdf,grok,res,5,1,9
